Organism	BioProject	Run	Tissue	Treatment	Isolate	AGE	SRA Study	Sample Name	Bases	Bytes	AvgSpotLen	BioSample	Experiment	ReleaseDate	create_date	Library Name	dev_stage	Cultivar					name
Brassica rapa	PRJNA593493	SRR10685324	Apex	-	not applicable	27d	SRP237446	R18A9_3	8736747600	3387326727	300	SAMN13477714	SRX7362273	2020-12-18T00:00:00Z	2019-12-13T22:39:00Z	R18A9_3	"7th true leaf visible\, elongation seen"	R-o-18					Apex_27days
Brassica rapa	PRJNA593493	SRR10685325	Apex	-	not applicable	27d	SRP237446	R18A9_2	9149063100	3401883341	300	SAMN13477713	SRX7362272	2020-12-18T00:00:00Z	2019-12-13T22:28:00Z	R18A9_2	"7th true leaf visible\, elongation seen"	R-o-18					Apex_27days
Brassica rapa	PRJNA593493	SRR10685326	Apex	-	not applicable	27d	SRP237446	R18A9_1	8877150900	3346316277	300	SAMN13477712	SRX7362271	2020-12-18T00:00:00Z	2019-12-13T22:27:00Z	R18A9_1	"7th true leaf visible\, elongation seen"	R-o-18					Apex_27days
Brassica rapa	PRJNA593493	SRR10685327	Apex	-	not applicable	25d	SRP237446	R18A8_3	7606121400	2947391538	300	SAMN13477711	SRX7362270	2020-12-18T00:00:00Z	2019-12-13T22:38:00Z	R18A8_3	"7th true leaf visible\, apices floral"	R-o-18					Apex_25days
Brassica rapa	PRJNA593493	SRR10685328	Apex	-	not applicable	25d	SRP237446	R18A8_2	8451594600	3110211733	300	SAMN13477710	SRX7362269	2020-12-18T00:00:00Z	2019-12-13T22:35:00Z	R18A8_2	"7th true leaf visible\, apices floral"	R-o-18					Apex_25days
Brassica rapa	PRJNA593493	SRR10685329	Apex	-	not applicable	25d	SRP237446	R18A8_1	8933101500	3401532678	300	SAMN13477709	SRX7362268	2020-12-18T00:00:00Z	2019-12-13T22:37:00Z	R18A8_1	"7th true leaf visible\, apices floral"	R-o-18					Apex_25days
Brassica rapa	PRJNA593493	SRR10685330	Apex	-	not applicable	23d	SRP237446	R18A7_3	7678515000	2987417061	300	SAMN13477708	SRX7362267	2020-12-18T00:00:00Z	2019-12-13T22:28:00Z	R18A7_3	6th true leaf visible	R-o-18					Apex_23days
Brassica rapa	PRJNA593493	SRR10685331	Apex	-	not applicable	11d	SRP237446	R18A1_3	7568078100	2884111010	300	SAMN13477690	SRX7362266	2020-12-18T00:00:00Z	2019-12-13T22:36:00Z	R18A1_3	first true leaf visible	R-o-18					Apex_11days
Brassica rapa	PRJNA593493	SRR10685332	Apex	-	not applicable	23d	SRP237446	R18A7_2	8480368500	3146427989	300	SAMN13477707	SRX7362265	2020-12-18T00:00:00Z	2019-12-13T22:38:00Z	R18A7_2	6th true leaf visible	R-o-18					Apex_23days
Brassica rapa	PRJNA593493	SRR10685333	Apex	-	not applicable	23d	SRP237446	R18A7_1	7369820400	2810455564	300	SAMN13477706	SRX7362264	2020-12-18T00:00:00Z	2019-12-13T22:34:00Z	R18A7_1	6th true leaf visible	R-o-18					Apex_23days
Brassica rapa	PRJNA593493	SRR10685334	Apex	-	not applicable	21d	SRP237446	R18A6_3	8842205100	3432559150	300	SAMN13477705	SRX7362263	2020-12-18T00:00:00Z	2019-12-13T22:44:00Z	R18A6_3	5th true leaf visible	R-o-18					Apex_21days
Brassica rapa	PRJNA593493	SRR10685335	Apex	-	not applicable	21d	SRP237446	R18A6_2	7387255800	2884718600	300	SAMN13477704	SRX7362262	2020-12-18T00:00:00Z	2019-12-13T22:30:00Z	R18A6_2	5th true leaf visible	R-o-18					Apex_21days
